up,down
92,228
253,243
222,223
187,191
75,157
210,47
78,121
230,245
219,127
93,254
105,151
251,241
190,137
179,237
186,255
191,223
157,251
251,218
239,223
234,91
239,125
247,252
157,184
143,251
90,43
217,237
118,169
123,183
126,250
239,147
111,119
221,252
181,201
249,93
181,89
238,234
126,254
219,233
59,197
249,252
60,191
91,171
231,184
23,94
123,223
77,181
253,239
185,239
250,82
75,213
43,150
181,94
254,159
245,223
250,203
223,243
223,189
185,252
222,253
109,186
35,251
235,124
180,231
83,180
171,221
116,231
231,63
203,215
95,110
107,234
235,221
189,255
237,255
202,119
251,43
251,223
189,190
247,247
75,123
249,173
62,105
171,127
178,157
189,255
252,215
237,107
201,127
186,79
252,159
214,178
245,79
115,251
214,42
85,187
91,114
221,223
221,247
84,140
159,171
175,239
159,83
244,211
218,201
222,116
191,179
171,206
127,237
116,252
187,218
247,180
174,223
212,190
237,125
183,41
103,109
183,18
87,251
219,79
86,107
55,111
119,102
251,253
203,189
172,177
122,143
125,23
102,207
223,159
239,211
117,227
155,127
171,125
154,159
183,211
236,174
127,175
237,167
210,237
61,255
175,189
183,155
170,223
254,190
191,60
219,181
250,90
87,219
253,255
211,187
175,242
229,159
251,223
185,255
183,247
235,63
214,235
205,247
238,241
111,203
221,255
126,127
51,126
235,205
219,252
207,237
221,197
173,247
156,183
252,94
175,239
103,191
169,46
220,239
238,205
223,255
237,255
119,223
86,251
186,221
178,203
186,109
238,221
221,255
94,254
254,187
247,253
191,109
206,47
92,255
121,187
165,207
239,181
255,238
159,180
223,38
253,246
167,93
102,181
109,253
238,63
250,191
251,255
123,157
253,255
223,253
103,234
153,191
151,205
183,76
252,255
245,120
175,159
235,247
179,255
239,85
254,188
181,221
91,254
175,175
251,238
235,215
252,223
250,179
85,191
123,254
91,166
59,233
221,125
245,179
109,253
95,188
189,178
229,191
204,57
54,251
35,107
79,251
189,211
190,246
255,247
183,169
244,183
253,178
221,38
235,239
215,207
190,167
181,250
223,243
111,63
182,55
175,91
238,177
124,247
221,226
77,142
182,175
235,250
219,174
122,236
251,251
247,254
255,254
235,252
223,253
249,246
78,123
191,255
105,239
189,118
223,158
235,253
230,62
183,206
150,207
231,223
106,254
86,254
206,159
254,217
237,123
190,247
254,78
251,123
86,235
183,215
171,236
247,173
107,123
247,246
237,218
106,23
221,175
62,62
215,222
157,254
102,233
181,255
182,177
230,173
250,55
220,159
189,255
191,127
185,175
236,254
186,121
180,173
180,122
159,235
169,255
236,255
214,186
238,251
175,119
39,239
127,255
95,207
78,78
210,255
87,239
191,95
245,187
173,59
182,243
211,252
166,251
247,251
213,43
187,79
231,111
187,63
237,110
54,74
119,253
171,223
78,191
246,205
94,239
181,116
95,238
118,254
231,111
238,255
250,188
220,238
190,151
183,148
163,107
116,156
230,223
233,236
237,213
91,239
43,100
155,78
164,230
238,207
234,124
254,255
121,255
214,127
234,113
174,206
189,249
125,222
175,189
219,249
91,242
118,207
110,171
223,245
186,58
254,255
191,238
180,171
93,181
255,246
75,205
221,95
217,61
218,221
219,236
185,188
191,239
91,229
207,189
